"","parameters.lazinessPrior","parameters.lazyPulling","parameters.gaussianNoise","predictives.confounded evidence_single_win","predictives.strong indirect evidence_single_win","predictives.weak indirect evidence_single_win","predictives.diverse evidence_single_win","predictives.confounded evidence_single_loss","predictives.strong indirect evidence_single_loss","predictives.weak indirect evidence_single_loss","predictives.diverse evidence_single_loss","predictives.confounded with partner_double_win","predictives.confounded with opponent_double_win","predictives.strong indirect evidence_double_win","predictives.weak indirect evidence_double_win","predictives.diverse evidence_double_win","predictives.round robin_double_win","predictives.confounded with partner_double_loss","predictives.confounded with opponent_double_loss","predictives.strong indirect evidence_double_loss","predictives.weak indirect evidence_double_loss","predictives.diverse evidence_double_loss","predictives.round robin_double_loss","prob"
"376",0.11,0.41,0.41,0.5628,0.9948,0.4282,1.0096,-0.5368,-1.0196,-0.3538,-1.0012,0.6758,0.7284,1.0316,0.1234,0.9228,1.1832,-0.7668,-0.7104,-1.0434,-0.2214,-0.8882,-1.182,2.38710126580939e-23
"377",0.11,0.41,0.31,0.6034,1.0512,0.3464,1.0188,-0.5754,-0.9834,-0.3238,-0.9932,0.7428,0.7232,1.0688,0.2302,0.9496,1.1092,-0.772,-0.7312,-1.0554,-0.1998,-0.8828,-1.12,4.77370076614316e-15
"378",0.11,0.41,0.21,0.6622,1.027,0.3018,1.0408,-0.5842,-1.0588,-0.323,-1.0496,0.6642,0.7604,1.0566,0.2492,0.8372,1.1328,-0.7204,-0.7418,-1.067,-0.1768,-0.9308,-1.1652,0.0000000000304360409017568
"379",0.11,0.41,0.11,0.612,0.9656,0.333,1.0156,-0.5896,-0.9876,-0.3684,-1.041,0.7224,0.6628,1.078,0.2646,0.9068,1.1244,-0.6274,-0.6642,-1.0078,-0.1582,-0.9364,-1.1582,0.000000000108259510017945
"380",0.11,0.41,0.01,0.628,1.0006,0.3716,0.9796,-0.5742,-0.9988,-0.3688,-1.002,0.7452,0.7702,1.124,0.2314,0.8784,1.1876,-0.7728,-0.7048,-1.0878,-0.2336,-0.8518,-1.157,0.00000000287518163564916
"381",0.11,0.31,0.41,0.6142,0.9624,0.3606,1.0302,-0.6574,-0.9664,-0.3464,-1.0722,0.7462,0.712,1.0542,0.3018,0.8522,1.2298,-0.6836,-0.7012,-0.9694,-0.211,-0.8508,-1.1952,9.40647402605443e-19
"382",0.11,0.31,0.31,0.6028,0.9798,0.3624,1.03,-0.5436,-1.0166,-0.2852,-0.9834,0.6794,0.728,1.0232,0.2392,0.891,1.2282,-0.6776,-0.7284,-0.9898,-0.1482,-0.879,-1.185,3.7019032883695e-18
"383",0.11,0.31,0.21,0.6128,0.9722,0.2826,1.0332,-0.6082,-1.0602,-0.3962,-0.9704,0.7352,0.7182,0.9756,0.2248,0.8966,1.1978,-0.7354,-0.7456,-0.988,-0.2626,-0.9108,-1.1936,1.66609055607314e-16
"384",0.11,0.31,0.11,0.6338,0.9722,0.3762,1.0052,-0.6108,-0.9632,-0.2854,-0.973,0.7148,0.8278,1.0114,0.2214,0.9124,1.1878,-0.7334,-0.6864,-1.0622,-0.2278,-0.8734,-1.162,0.0000434711045299358
"385",0.11,0.31,0.01,0.585,0.9352,0.341,1.0112,-0.584,-1.0072,-0.3056,-0.9408,0.7648,0.7396,1.0268,0.155,0.906,1.1864,-0.732,-0.7482,-1.0448,-0.1726,-0.8908,-1.1958,0.000636095398207741
"386",0.11,0.21,0.41,0.5746,0.9644,0.4138,0.9862,-0.533,-0.9808,-0.3198,-0.9798,0.7908,0.7414,0.939,0.178,0.9526,1.1434,-0.7112,-0.7052,-0.9892,-0.1934,-0.8424,-1.1582,4.10604068796992e-23
"387",0.11,0.21,0.31,0.6276,1.0058,0.3144,1.0244,-0.6236,-0.9838,-0.3204,-1.0042,0.6286,0.6964,1.0198,0.2044,0.9582,1.1556,-0.7746,-0.6814,-0.9848,-0.1328,-0.8604,-1.1922,1.93834587757696e-19
"388",0.11,0.21,0.21,0.5708,0.9534,0.3876,1.0136,-0.6194,-0.9804,-0.2984,-1.0116,0.6776,0.7404,1.0536,0.1568,0.9356,1.159,-0.7164,-0.7092,-1.0574,-0.162,-0.85,-1.202,8.63489713365933e-17
"389",0.11,0.21,0.11,0.6468,0.9824,0.3696,0.9302,-0.5684,-0.9366,-0.3106,-1.0166,0.6746,0.6954,0.985,0.1872,0.9078,1.1968,-0.735,-0.7022,-0.992,-0.1192,-0.954,-1.144,0.0000000029311493565263
"390",0.11,0.21,0.01,0.6026,0.958,0.3376,1.0218,-0.578,-0.9756,-0.3738,-1.088,0.7716,0.7184,0.9186,0.2072,0.8766,1.1474,-0.6646,-0.6976,-1.067,-0.22,-0.9248,-1.1784,0.00000347242373128897
"391",0.11,0.11,0.41,0.5962,0.9108,0.3484,1.0504,-0.6008,-0.9894,-0.3712,-1.0292,0.6902,0.7394,0.9704,0.2226,0.886,1.1242,-0.6752,-0.7886,-0.9684,-0.2614,-0.9136,-1.0978,5.63235040807952e-21
