"","parameters.lazinessPrior","parameters.lazyPulling","parameters.gaussianNoise","predictives.confounded evidence_single_win","predictives.strong indirect evidence_single_win","predictives.weak indirect evidence_single_win","predictives.diverse evidence_single_win","predictives.confounded evidence_single_loss","predictives.strong indirect evidence_single_loss","predictives.weak indirect evidence_single_loss","predictives.diverse evidence_single_loss","predictives.confounded with partner_double_win","predictives.confounded with opponent_double_win","predictives.strong indirect evidence_double_win","predictives.weak indirect evidence_double_win","predictives.diverse evidence_double_win","predictives.round robin_double_win","predictives.confounded with partner_double_loss","predictives.confounded with opponent_double_loss","predictives.strong indirect evidence_double_loss","predictives.weak indirect evidence_double_loss","predictives.diverse evidence_double_loss","predictives.round robin_double_loss"
"8.29",0.0003280984827746,0.317312127072364,0.0431417758809403,2.7468,3.2211,2.5691,3.2287,1.6632,1.2128,1.8751,1.2288,2.9682,2.912,3.3297,2.4296,3.1318,3.3981,1.5155,1.5444,1.1472,1.9681,1.3478,1.1005
"8.30",0.0003280984827746,0.317312127072364,0.0431417758809403,2.7468,3.2211,2.5691,3.2287,1.6632,1.2128,1.8751,1.2288,2.9682,2.912,3.3297,2.4296,3.1318,3.3981,1.5155,1.5444,1.1472,1.9681,1.3478,1.1005
"8.31",0.0003280984827746,0.317312127072364,0.0431417758809403,2.7468,3.2211,2.5691,3.2287,1.6632,1.2128,1.8751,1.2288,2.9682,2.912,3.3297,2.4296,3.1318,3.3981,1.5155,1.5444,1.1472,1.9681,1.3478,1.1005
"8.32",0.0003280984827746,0.317312127072364,0.0431417758809403,2.7468,3.2211,2.5691,3.2287,1.6632,1.2128,1.8751,1.2288,2.9682,2.912,3.3297,2.4296,3.1318,3.3981,1.5155,1.5444,1.1472,1.9681,1.3478,1.1005
"8.33",0.0003280984827746,0.317312127072364,0.0431417758809403,2.7468,3.2211,2.5691,3.2287,1.6632,1.2128,1.8751,1.2288,2.9682,2.912,3.3297,2.4296,3.1318,3.3981,1.5155,1.5444,1.1472,1.9681,1.3478,1.1005
"8.34",0.0003280984827746,0.317312127072364,0.0431417758809403,2.7468,3.2211,2.5691,3.2287,1.6632,1.2128,1.8751,1.2288,2.9682,2.912,3.3297,2.4296,3.1318,3.3981,1.5155,1.5444,1.1472,1.9681,1.3478,1.1005
"8.35",0.0003280984827746,0.317312127072364,0.0431417758809403,2.7468,3.2211,2.5691,3.2287,1.6632,1.2128,1.8751,1.2288,2.9682,2.912,3.3297,2.4296,3.1318,3.3981,1.5155,1.5444,1.1472,1.9681,1.3478,1.1005
"8.36",0.0003280984827746,0.317312127072364,0.0431417758809403,2.7468,3.2211,2.5691,3.2287,1.6632,1.2128,1.8751,1.2288,2.9682,2.912,3.3297,2.4296,3.1318,3.3981,1.5155,1.5444,1.1472,1.9681,1.3478,1.1005
"8.37",0.0003280984827746,0.317312127072364,0.0431417758809403,2.7468,3.2211,2.5691,3.2287,1.6632,1.2128,1.8751,1.2288,2.9682,2.912,3.3297,2.4296,3.1318,3.3981,1.5155,1.5444,1.1472,1.9681,1.3478,1.1005
"8.38",0.0003280984827746,0.317312127072364,0.0431417758809403,2.7468,3.2211,2.5691,3.2287,1.6632,1.2128,1.8751,1.2288,2.9682,2.912,3.3297,2.4296,3.1318,3.3981,1.5155,1.5444,1.1472,1.9681,1.3478,1.1005
"8.39",0.0003280984827746,0.317312127072364,0.0431417758809403,2.7468,3.2211,2.5691,3.2287,1.6632,1.2128,1.8751,1.2288,2.9682,2.912,3.3297,2.4296,3.1318,3.3981,1.5155,1.5444,1.1472,1.9681,1.3478,1.1005
"8.40",0.0003280984827746,0.317312127072364,0.0431417758809403,2.7468,3.2211,2.5691,3.2287,1.6632,1.2128,1.8751,1.2288,2.9682,2.912,3.3297,2.4296,3.1318,3.3981,1.5155,1.5444,1.1472,1.9681,1.3478,1.1005
"8.41",0.0003280984827746,0.317312127072364,0.0431417758809403,2.7468,3.2211,2.5691,3.2287,1.6632,1.2128,1.8751,1.2288,2.9682,2.912,3.3297,2.4296,3.1318,3.3981,1.5155,1.5444,1.1472,1.9681,1.3478,1.1005
"8.42",0.0003280984827746,0.317312127072364,0.0431417758809403,2.7468,3.2211,2.5691,3.2287,1.6632,1.2128,1.8751,1.2288,2.9682,2.912,3.3297,2.4296,3.1318,3.3981,1.5155,1.5444,1.1472,1.9681,1.3478,1.1005
"8.43",0.0003280984827746,0.317312127072364,0.0431417758809403,2.7468,3.2211,2.5691,3.2287,1.6632,1.2128,1.8751,1.2288,2.9682,2.912,3.3297,2.4296,3.1318,3.3981,1.5155,1.5444,1.1472,1.9681,1.3478,1.1005
"8.44",0.0003280984827746,0.317312127072364,0.0431417758809403,2.7468,3.2211,2.5691,3.2287,1.6632,1.2128,1.8751,1.2288,2.9682,2.912,3.3297,2.4296,3.1318,3.3981,1.5155,1.5444,1.1472,1.9681,1.3478,1.1005
"8.45",0.0003280984827746,0.317312127072364,0.0431417758809403,2.7468,3.2211,2.5691,3.2287,1.6632,1.2128,1.8751,1.2288,2.9682,2.912,3.3297,2.4296,3.1318,3.3981,1.5155,1.5444,1.1472,1.9681,1.3478,1.1005
